30/07 21:11:45.5  INFO   13240 Server.cpp[124]              0 clients
30/07 21:11:49.2  INFO   13240 Server.cpp[175]              Server memory release
30/07 21:11:49.2  NOTE   13240 Server.cpp[179]              Server stopped
30/07 21:13:03.4  INFO   3172 Application.cpp[130]          MonaTiny v1.265
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             RTMP server started on 0.0.0.0:1935 (TCP)
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             HTTP server started on 0.0.0.0:80 (TCP)
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             WS server started on 0.0.0.0:80 (TCP)
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             HTTPS server started on 0.0.0.0:443 (TCP)
30/07 21:13:03.5  NOTE   13828 Protocols.h[132]             WSS server started on 0.0.0.0:443 (TCP)
30/07 21:13:03.8  ERROR  13828 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 21:13:03.8  INFO   13828 MonaTiny.cpp[178]            RTMP 127.0.0.1:61054 subscribe to stream
